gp_idx,reward_type,final_position,total_time,points,changed_compound
0,time,2,5783.676621949454,18,True
0,time,13,5762.663588762659,0,True
0,time,6,5781.776739550946,8,True
0,time,13,5936.689806862335,0,True
0,time,20,5772.8856946046335,0,True
0,time,7,5707.935238436942,6,True
0,time,5,5649.524863256106,10,True
0,time,2,5629.063408379133,18,True
0,time,2,5650.847169284508,18,True
0,time,7,5680.4637674291735,6,True
0,time,2,5677.353115532022,18,True
0,time,11,5711.0183553193065,0,True
0,time,4,5741.148646213613,12,True
0,time,9,5686.3937573182375,2,True
0,time,3,5649.707585795769,15,True
0,time,16,5945.644871843649,0,True
0,time,10,5704.496319525823,1,True
0,time,6,5951.392219145288,8,True
0,time,10,5915.219032038479,1,True
0,time,11,5809.809473268751,0,True
0,time,4,5647.9123146232,12,True
0,time,16,5755.617982931965,0,True
0,time,10,5920.165578405513,1,True
0,time,7,5803.8144640461405,6,True
0,time,9,5786.93396567089,2,True
0,time,9,5883.259410811025,2,True
0,time,15,5858.886857276647,0,True
0,time,8,5864.77233062847,4,True
0,time,3,5787.5903334950135,15,True
0,time,5,5630.989023674273,10,True
0,time,6,5781.737185003347,8,True
0,time,7,5681.992154612742,6,True
0,time,2,5712.163368952096,18,True
0,time,4,5841.457926597733,12,True
0,time,6,5773.146315602325,8,True
0,time,7,5682.711885560191,6,True
0,time,4,5755.391054759406,12,True
0,time,8,5714.6943703792485,4,True
0,time,10,5693.08709258353,1,True
0,time,4,5602.308743135488,12,True
0,time,14,5739.019657356603,0,True
0,time,2,5645.428066878959,18,True
0,time,9,5787.693592705458,2,True
0,time,18,5946.361443230689,0,True
0,time,9,5726.172436366667,2,True
0,time,5,5672.528700759232,10,True
0,time,7,5642.417846386361,6,True
0,time,5,5658.309874314217,10,True
0,time,3,5664.74713623796,15,True
0,time,20,5828.7541463175585,0,True
0,time,8,5671.982888178718,4,True
0,time,3,5721.747999607853,15,True
0,time,5,5780.18833600063,10,True
0,time,8,5729.565147742572,4,True
0,time,7,5699.081137503164,6,True
0,time,6,5676.522264426201,8,True
0,time,5,5694.599712934035,10,True
0,time,5,5693.170584811245,10,True
0,time,7,5674.3919525000965,6,True
0,time,3,5688.240829431492,15,True
0,time,4,5833.385894940191,12,True
0,time,9,5704.149130743204,2,True
0,time,1,5648.5044933370755,25,True
0,time,3,5636.944834218383,15,True
0,time,7,5669.90062967225,6,True
0,time,5,5659.247012919238,10,True
0,time,7,5780.426492839425,6,True
0,time,6,5658.628632413142,8,True
0,time,1,5607.442781203857,25,True
0,time,4,5699.835149226084,12,True
0,time,2,5599.404934681734,18,True
0,time,4,5639.307374752745,12,True
0,time,16,5754.111635609849,0,True
0,time,7,5698.6200128248665,6,True
0,time,9,5686.017177318319,2,True
0,time,9,5902.484704379703,2,True
0,time,12,5738.853320771898,0,True
0,time,14,5742.74194279518,0,True
0,time,8,5791.907406084484,4,True
0,time,6,5708.998674775381,8,True
0,time,11,5698.524855533375,0,True
0,time,6,5642.238801936886,8,True
0,time,6,5786.347445839135,8,True
0,time,6,5648.274966788585,8,True
0,time,7,5727.1876438549325,6,True
0,time,6,5872.741723255223,8,True
0,time,6,5656.382107806041,8,True
0,time,20,5749.971940707331,0,True
0,time,3,5800.2403554241955,15,True
0,time,8,5803.486374564406,4,True
0,time,1,5630.517613482892,25,True
0,time,15,5737.015924619633,0,True
0,time,4,5624.823926029588,12,True
0,time,20,5744.841582708227,0,True
0,time,6,5650.84718246021,8,True
