gp_idx,algo,display_name,real_starting_pos,real_finishing_pos,final_position,total_reward,pit_stops,changed_compound
0,A2C,Bahrain GP (ALO),6,9,2,1485.5099258422852,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4842.524879455566,2,True
0,A2C,Bahrain GP (ALO),6,9,13,-5405.462417602539,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2137.3314819335938,3,True
0,A2C,Bahrain GP (ALO),6,9,20,-7003.315963745117,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2898.5773391723633,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3643.0710678100586,1,True
0,A2C,Bahrain GP (ALO),6,9,10,-4839.289588928223,2,True
0,A2C,Bahrain GP (ALO),6,9,3,431.8492202758789,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3639.23713684082,3,True
0,A2C,Bahrain GP (ALO),6,9,15,-6124.140159606934,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1614.8716049194336,2,True
0,A2C,Bahrain GP (ALO),6,9,9,-4606.515228271484,4,True
0,A2C,Bahrain GP (ALO),6,9,3,421.1469497680664,1,True
0,A2C,Bahrain GP (ALO),6,9,14,-5539.207832336426,2,True
0,A2C,Bahrain GP (ALO),6,9,2,1465.3748779296875,3,True
0,A2C,Bahrain GP (ALO),6,9,3,416.6615905761719,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-616.1889190673828,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2680.681198120117,2,True
0,A2C,Bahrain GP (ALO),6,9,10,-4846.705009460449,1,True
0,A2C,Bahrain GP (ALO),6,9,3,194.2905044555664,2,True
0,A2C,Bahrain GP (ALO),6,9,2,1470.653060913086,3,True
0,A2C,Bahrain GP (ALO),6,9,13,-5600.4630126953125,2,True
0,A2C,Bahrain GP (ALO),6,9,20,-6883.96036529541,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-5048.324722290039,1,True
0,A2C,Bahrain GP (ALO),6,9,6,-2354.410263061523,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3630.975814819336,2,True
0,A2C,Bahrain GP (ALO),6,9,12,-5453.9686279296875,2,True
0,A2C,Bahrain GP (ALO),6,9,12,-5438.319847106934,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2117.548812866211,1,True
0,A2C,Bahrain GP (ALO),6,9,12,-5873.727912902832,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-850.4224166870117,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2135.7892684936523,3,True
0,A2C,Bahrain GP (ALO),6,9,13,-5595.118148803711,2,True
0,A2C,Bahrain GP (ALO),6,9,1,3927.307197570801,1,True
0,A2C,Bahrain GP (ALO),6,9,9,-4387.274215698242,2,True
0,A2C,Bahrain GP (ALO),6,9,3,424.2968444824219,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3856.895851135254,2,True
0,A2C,Bahrain GP (ALO),6,9,17,-6197.593795776367,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-5053.143852233887,3,True
0,A2C,Bahrain GP (ALO),6,9,6,-2351.258499145508,2,True
0,A2C,Bahrain GP (ALO),6,9,5,-2040.270881652832,4,True
0,A2C,Bahrain GP (ALO),6,9,11,-5288.470611572266,3,True
0,A2C,Bahrain GP (ALO),6,9,8,-3645.346405029297,3,True
0,A2C,Bahrain GP (ALO),6,9,20,-6456.694507598877,1,True
0,A2C,Bahrain GP (ALO),6,9,2,1250.5686569213867,3,True
0,A2C,Bahrain GP (ALO),6,9,5,-1603.0068588256836,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2886.815818786621,3,True
0,A2C,Bahrain GP (ALO),6,9,12,-5438.285835266113,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3845.062789916992,3,True
0,A2C,Bahrain GP (ALO),6,9,15,-5888.403251647949,2,True
0,A2C,Bahrain GP (ALO),6,9,4,-965.8389282226562,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2126.812355041504,1,True
0,A2C,Bahrain GP (ALO),6,9,5,-1582.7268295288086,3,True
0,A2C,Bahrain GP (ALO),6,9,10,-5071.369232177734,4,True
0,A2C,Bahrain GP (ALO),6,9,10,-4838.039161682129,3,True
0,A2C,Bahrain GP (ALO),6,9,15,-5702.566993713379,2,True
0,A2C,Bahrain GP (ALO),6,9,7,-2890.3869705200195,1,True
0,A2C,Bahrain GP (ALO),6,9,7,-2882.8387145996094,3,True
0,A2C,Bahrain GP (ALO),6,9,9,-4397.624664306641,3,True
0,A2C,Bahrain GP (ALO),6,9,4,-638.0848236083984,2,True
0,A2C,Bahrain GP (ALO),6,9,19,-6502.319969177246,2,True
0,A2C,Bahrain GP (ALO),6,9,8,-3843.142456054687,2,True
0,A2C,Bahrain GP (ALO),6,9,6,-2141.2712783813477,1,True
0,A2C,Bahrain GP (ALO),6,9,10,-5072.201866149902,3,True
0,A2C,Bahrain GP (ALO),6,9,11,-5299.491340637207,3,True
